date,text
2021-07-23 12:03:38+00:00,Twitters testing downvote button Just think cant possibly come another way make experience worse somehow
2021-07-23 12:03:38+00:00,Donald Trump aggrieved Instagram influencer exhausted reading Imagine actually
2021-07-23 12:03:38+00:00,The Kayesa ransomware nightmare nearly decryption tool emerged though company tightlipped got hold
2021-07-23 12:03:38+00:00,This drone beat professional racing pilot Another win bot
2021-07-22 12:03:39+00:00,How well coexist covid19 Much depends strength immune memories—and pace vaccination globally
2021-07-22 12:03:39+00:00,Floods China killed dozen The city Zhengzhou almost year’s worth rain three day
2021-07-22 12:03:39+00:00,Video game giant Activision sued endemic sexual harassment sound like company fostered truly hellish working environment especially woman people color
2021-07-22 12:03:39+00:00,How TikTok work Its pretty simple algorithm look long spend video feed stuff like
2021-07-22 12:03:39+00:00,Why care fact youre tracked This debate seem theoretical The case Catholic priest private life exposed brings sharply focus
2021-07-22 12:03:39+00:00,flexible computer chip could enable amazing invention This could let connect everyday item like clothes food container internet
2021-07-22 12:03:39+00:00,Emirati Princess Latifa may captured using Pegasus spyware She not seen since failed 2018 escape father
2021-07-22 12:03:39+00:00,Why gun violence surging Hopefully soon find thanks hugely increased research funding
2021-07-22 12:03:39+00:00,Can Blue Origin succeed Its mean guaranteed despite Tuesdays flight
2021-07-22 12:03:39+00:00,Airbnb pool thing exists And guess make lot sense
2021-07-21 12:05:27+00:00,The Olympics kick today The heat problem rising number covid case
2021-07-21 12:05:27+00:00,How Zello keep people connected South Africa’s unrest People using walkietalkie app coordinate response crisis
2021-07-21 12:05:27+00:00,How next generation reshaping political discourse The rise social medium always online changing nature civic engagement
2021-07-21 12:05:27+00:00,need stop worrying learn love GMOs The verdict potential health benefit huge
2021-07-21 12:05:27+00:00,The huge environmental toll shipping Today global trade circulated around world 50000 ship run extremely dirty fuel
2021-07-21 12:05:27+00:00,Chinas defense hacking charge The Slightly juvenilesounding ultimately accurate
2021-07-21 12:05:27+00:00,The man turned Farmville clone massive Ponzi scheme Farm Bank might biggest lucrative appbased grift date
2021-07-21 12:05:27+00:00,Why Netflix getting game Its extension chooseyourownadventure experiment like Bandersnatch
2021-07-21 12:05:27+00:00,Hot vax summer happening folk Google search anything anyway
2021-07-21 12:05:27+00:00,These cherry floating water arent real Researchers created new way model surface tension The result frighteningly realistic
2021-07-20 12:05:05+00:00,The Delta variant exact grim toll poorer country Youre either vaccinated youre high risk country not access enough vaccine
2021-07-20 12:05:05+00:00,The ally accused China major cyber attack Specifically giant Microsoft Exchange hack affected least 30000 organization globally
2021-07-20 12:05:05+00:00,Wally Funk defy year sexism head space today Better late never
2021-07-20 12:05:05+00:00,Why NASA visit Pluto Itd take year get could learn huge amount formation solar system
2021-07-20 12:05:05+00:00,What Beijing expect business Total compliance This not feel like recipe creativity innovation long run
2021-07-20 12:05:05+00:00,How skateboard startup Boosted went bust This look like yet another story company overextending thanks influence VCs
2021-07-20 12:05:05+00:00,Why Olympic athlete sleeping cardboard bed Its nothing discouraging sex Its ecofriendly option
2021-07-20 12:05:05+00:00,Facial recognition already everywhere The lack regulation feel remarkable every passing day
2021-07-20 12:05:05+00:00,Have Google Amazon backed wrong driverless tech Full autonomy still look mile Incremental automation winning
2021-07-20 12:05:05+00:00,Malaysian police steamrollered 1069 bitcoin mining rig This look like lot fun
2021-07-19 12:05:12+00:00,How convince vaccine skeptic For starter dont begin premise theyre irrational stupid
2021-07-19 12:05:12+00:00,Activists journalist lawyer hacked using NSO Group spyware This chilling stuff
2021-07-19 12:05:12+00:00,The wildfire across west growing The Bootleg fire grown 476 square mile area size Los Angeles
2021-07-19 12:05:12+00:00,OnlyFans isnt enough protect performer youre going take cut people earnings youd better earn
2021-07-19 12:05:12+00:00,The space race back Except time China And billionaire complicating picture
2021-07-19 12:05:12+00:00,Why WeWork didnt work After meteoric rise relationship Adam Neumann Masayoshi Son fell apart
2021-07-19 12:05:12+00:00,Explaining mystery seed Americans received last summer Basically lot people ordered forgot
2021-07-19 12:05:12+00:00,The ethic Anthony Bourdain deepfake Artificially putting word dead man mouth certainly feel pretty dodgy
2021-07-19 12:05:12+00:00,Résumés TikTok video This feel skincrawlingly embarrassing elderly millennial not target audience
2021-07-19 12:05:12+00:00,Why murder Sims insight evil tortured mind fun irreverent way blow bit steam
2021-07-16 12:07:16+00:00,The next covid19 battle Vaccinating kid Really wish everything didnt battle
2021-07-16 12:07:16+00:00,Flooding Germany killed least people Its becoming harder harder ignore impact climate change
2021-07-16 12:07:16+00:00,DeepMind going open source proteinfolding win science
2021-07-16 12:07:16+00:00,How China censor video game around world The number gamers bigger entire population Japan Germany France combined
2021-07-16 12:07:16+00:00,The great Bay Area exodus simply isnt happening Some people left noisily returning quietly
2021-07-16 12:07:16+00:00,Fraudsters cashing chip shortage Criminals love vacuum
2021-07-16 12:07:16+00:00,How city Florida got convinced pay tunnel Teslas Its unclear really benefit beyond Elon Musk
2021-07-16 12:07:16+00:00,The history Black Twitter Lifting lid one creative vibrant corner Twitter indeed whole internet
2021-07-16 12:07:16+00:00,How many number exist might know one day For year mathematician said unknowable new proof suggests otherwise
2021-07-16 12:07:16+00:00,You use emojis work wellplaced emoji save whole lot word
2021-07-15 12:07:24+00:00,Pfizer want give booster shot—but expert say it’s soon Those vaccine going older adult poor country haven’t yet received first dose
2021-07-15 12:07:24+00:00,need learn grasp analogy Until cant truly intelligent
2021-07-15 12:07:24+00:00,find online security issue China youll report government This look like yet another power grab Beijing
2021-07-15 12:07:24+00:00,brain implant enabled paralyzed man speak For first time since car crash 2003 Simply amazing
2021-07-15 12:07:24+00:00,Phone hacking tech chilling effect journalism Oppressive government increasingly turning tool like sold Cellebrite Israeli surveillance firm
2021-07-15 12:07:24+00:00,green pandemic recovery look unlikely Trillions dollar poured rescuing economy spent way worsen climate crisis
2021-07-15 12:07:24+00:00,social medium making tactful Probably not But maybe helping make empathetic
2021-07-15 12:07:24+00:00,Women much likely autoimmune disease Sometimes factor yet remain largely ignorant cause
2021-07-15 12:07:24+00:00,Can trust Netblocks Its informed virtually every internet shutdown year But monitor internet monitor
2021-07-15 12:07:24+00:00,The concept cool need updating Maybe time throw whole thing trash
2021-07-14 12:07:59+00:00,The cost hygiene theater Obsessing cleaning can—and does—distract thing actually matter like mask ventilation
2021-07-14 12:07:59+00:00,Remote work blessing curse woman Theyre likely want work home yet harder time theyre burdened housework
2021-07-14 12:07:59+00:00,Cuba show social medium blackout increasingly common tactic The latest event reflect alarming new normal
2021-07-14 12:07:59+00:00,Reminder climate crisis not affect equally Richer whiter neighborhood dodging worst impact
2021-07-14 12:07:59+00:00,Vaccine misinformation keep going viral TikTok The use audio clip dodge ban particular problem
2021-07-14 12:07:59+00:00,This robot keep getting fired The gap expectation think thing actually remains large
2021-07-14 12:07:59+00:00,Inside Facebooks data transparency war The story CrowdTangle show Facebook’s obsession reputation management get way attempt clean platform
2021-07-14 12:07:59+00:00,Shein future fast fashion better worse When see production fast product cheap someone somewhere paying price
